Sample_Name,pH
P04T2B2,5.45
P04T2B3,5.49
P04T2C1,5.3
P04T2C2,5.39
P04T2C3,5.37
P04T3A1,5.1
P04T3A2,5.14
P04T3A3,5.14
P04T3B1,5.16
P04T3B2,5.29
P04T3B3,5.15
P04T3C1,5.09
P04T3C2,5.13
P04T3C3,5.08
P05TB,n.d.
P05TD,n.d.
P05TE,n.d.
P05TG,n.d.
P05T0A,6.12
P05T0B,5.96
P05T0C,5.96
P05T1A1,5.75
P05T1A2,5.81
P05T1A3,5.89
P05T1B1,5.87
P05T1B2,5.89
P05T1B3,5.89
P05T1C1,5.67
P05T1C2,5.7
P05T1C3,5.68
P05T2A1,5.19
P05T2A2,5.22
P05T2A3,5.24
P05T2B1,5.22
P05T2B2,5.25
P05T2B3,5.25
P05T2C1,5.07
P05T2C2,5.07
P05T2C3,5.09
P05T3A1,5.17
P05T3A2,5.19
P05T3A3,5.16
P05T3B1,5.13
P05T3B2,5.59
P05T3B3,5.07
P05T3C1,5.09
P05T3C2,5.1
P05T3C3,5
P06TB,n.d.
P06TD,n.d.
P06TE,n.d.
P06TG,n.d.
P06T0A,5.96
P06T0B,5.95
P06T0C,5.97
P06T1A1,5.71
P06T1A2,5.55
P06T1A3,5.85
P06T1B1,5.81
P06T1B2,5.77
P06T1B3,5.89
P06T1C1,5.7
P06T1C2,5.83
P06T1C3,5.86
P06T2A1,5.35
P06T2A2,5.25
P06T2A3,5.53
P06T2B1,5.38
P06T2B2,5.45
P06T2B3,5.44
P06T2C1,5.39
P06T2C2,5.36
P06T2C3,5.55
P06T3A1,5.21
P06T3A2,5.21
P06T3A3,5.24
P06T3B1,5.21
P06T3B2,5.26
P06T3B3,5.19
P06T3C1,5.17
P06T3C2,5.18
P06T3C3,5.27
P07TB,n.d.
P07TD,n.d.
P07TE,n.d.
P07TG,n.d.
P07T0A,6.23
P07T0B,6.08
P07T0C,6.13
P07T1A1,6.17
P07T1A2,6.12
P07T1A3,6.1
P07T1B1,6.09
P07T1B2,6.01
P07T1B3,5.98
P07T1C1,6.15
P07T1C2,6.09
P07T1C3,6.08
P07T2A1,5.82
P07T2A2,5.9
P07T2A3,6.05
P07T2B1,5.56
P07T2B2,5.53
P07T2B3,5.62
P07T2C1,5.37
P07T2C2,5.34
P07T2C3,5.5
P07T3A1,5.32
P07T3A2,5.34
P07T3A3,5.35
P07T3B1,5.22
P07T3B2,5.25
P07T3B3,5.21
P07T3C1,5.22
P07T3C2,5.22
P07T3C3,5.25
P08TB,n.d.
P08TD,n.d.
P08TE,n.d.
P08TG,n.d.
P08T0A,6.04
P08T0B,5.9
P08T0C,5.93
P08T1A1,6.09
P08T1A2,5.91
P08T1A3,5.99
P08T1B1,5.91
P08T1B2,5.94
P08T1B3,5.91
P08T1C1,6.02
P08T1C2,6.06
P08T1C3,5.89
P08T2A1,5.23
P08T2A2,5.57
P08T2A3,5.25
P08T2B1,5.21
P08T2B2,5.2
P08T2B3,5.2
P08T2C1,5.61
P08T2C2,5.48
P08T2C3,5.7
P08T3A1,5
P08T3A2,5.19
P08T3A3,5.07
P08T3B1,5.24
P08T3B2,4.99
P08T3B3,4.99
P08T3C1,5.2
P08T3C2,5.13
P08T3C3,5.23
P09TB,n.d.
P09TD,n.d.
P09TE,n.d.
P09TG,n.d.
P09T0A,5.94
P09T0B,5.95
P09T0C,5.95
P09T1A1,5.98
P09T1A2,5.97
P09T1A3,5.92
P09T1B1,5.92
P09T1B2,5.93
P09T1B3,5.91
P09T1C1,5.98
P09T1C2,5.92
P09T1C3,5.92
P09T2A1,5.82
P09T2A2,5.74
P09T2A3,5.8
P09T2B1,5.77
P09T2B2,5.68
P09T2B3,5.75
P09T2C1,5.74
P09T2C2,5.72
P09T2C3,5.57
P09T3A1,5.46
P09T3A2,5.4
P09T3A3,5.42
P09T3B1,5.34
P09T3B2,5.33
P09T3B3,5.44
P09T3C1,5.36
P09T3C2,5.25
P09T3C3,5.34
P10TB,n.d.
P10TD,n.d.
P10TE,n.d.
P10TG,n.d.
P10T0A,6.01
P10T0B,6.01
P10T0C,5.98
P10T1A1,6.01
P10T1A2,5.97
P10T1A3,5.94
P10T1B1,6.03
P10T1B2,5.94
P10T1B3,5.96
P10T1C1,5.94
P10T1C2,5.96
P10T1C3,5.97
P10T2A1,5.75
P10T2A2,5.68
P10T2A3,5.74
P10T2B1,5.49
P10T2B2,5.58
P10T2B3,5.68
P10T2C1,5.56
P10T2C2,5.49
P10T2C3,5.71
P10T3A1,5.33
P10T3A2,5.32
P10T3A3,5.25
P10T3B1,5.3
P10T3B2,5.23
P10T3B3,5.27
P10T3C1,5.26
P10T3C2,5.27
P10T3C3,5.23
P11TB,n.d.
P11TD,n.d.
P11TE,n.d.
P11TG,n.d.
P11T0A,5.87
P11T0B,5.99
P11T0C,5.94
P11T1A1,5.96
P11T1A2,5.91
P11T1A3,5.89
P11T1B1,5.95
P11T1B2,6.03
P11T1B3,5.98
P11T1C1,5.99
P11T1C2,5.96
P11T1C3,5.92
