Sample_Name,Lactic acid bacteria             (log10 CFU.g-1)
P08T0A,2.60205999132796
P08T0B,3.54406804435028
P08T0C,2.14612803567824
P08T1A1,7.39794000867204
P08T1A2,5.60205999132796
P08T1A3,6.60205999132796
P08T1B1,7.51851393987789
P08T1B2,7.32221929473392
P08T1B3,7.86332286012046
P08T1C1,5.6232492903979
P08T1C2,6.20411998265593
P08T1C3,5.17609125905568
P08T2A1,7.36172783601759
P08T2A2,7.23044892137827
P08T2A3,7.46239799789896
P08T2B1,7.76342799356294
P08T2B2,7.32221929473392
P08T2B3,7.27875360095283
P08T2C1,7.32221929473392
P08T2C2,7.14612803567824
P08T2C3,7.6232492903979
P08T3A1,8.56820172406699
P08T3A2,8.39794000867204
P08T3A3,8.41497334797082
P08T3B1,8.76342799356294
P08T3B2,8.27875360095283
P08T3B3,8.27875360095283
P08T3C1,8.44715803134222
P08T3C2,8.89209460269048
P08T3C3,8.64345267648619
P09TB,<1
P09TD,1.00
P09TE,<1
P09TG,1.77815125038364
P09T0A,1.77815125038364
P09T0B,2.41497334797082
P09T0C,2.07918124604762
P09T1A1,5.23044892137827
P09T1A2,5.47712125471966
P09T1A3,4.95904139232109
P09T1B1,5.55630250076729
P09T1B2,5.77085201164214
P09T1B3,5.17609125905568
P09T1C1,5.92941892571429
P09T1C2,5.74036268949424
P09T1C3,5.39794000867204
P09T2A1,8.07918124604763
P09T2A2,8.27875360095283
P09T2A3,8.14612803567824
P09T2B1,8.25527250510331
P09T2B2,8.27875360095283
P09T2B3,8.11394335230684
P09T2C1,8.39794000867204
P09T2C2,8.17609125905568
P09T2C3,8.07918124604763
P09T3A1,8.39794000867204
P09T3A2,8.30102999566398
P09T3A3,8.38021124171161
P09T3B1,8.39794000867204
P09T3B2,8.53147891704226
P09T3B3,8.39794000867204
P09T3C1,8.30102999566398
P09T3C2,8.38021124171161
P09T3C3,8.38021124171161
P10TB,1.00
P10TD,1.60205999132796
P10TE,2.14612803567824
P10TG,1.69897000433602
P10T0A,1.95904139232109
P10T0B,2.39794000867204
P10T0C,2.14612803567824
P10T1A1,5.39794000867204
P10T1A2,5.23044892137827
P10T1A3,4.99563519459755
P10T1B1,6.14612803567824
P10T1B2,6.04139268515823
P10T1B3,5.17609125905568
P10T1C1,5.23044892137827
P10T1C2,5.75587485567249
P10T1C3,5.65321251377534
P10T2A1,8.76342799356294
P10T2A2,8.53147891704226
P10T2A3,8.20411998265593
P10T2B1,8.49136169383427
P10T2B2,8.49136169383427
P10T2B3,8.39794000867204
P10T2C1,8.41497334797082
P10T2C2,8.27875360095283
P10T2C3,8.07918124604763
P10T3A1,8.36172783601759
P10T3A2,8.00
P10T3A3,8.41497334797082
P10T3B1,8.32221929473392
P10T3B2,8.14612803567824
P10T3B3,8.17609125905568
P10T3C1,8.07918124604763
P10T3C2,8.07918124604763
P10T3C3,8.11394335230684
P11TB,2.32221929473392
P11TD,1.80617997398389
P11TE,2.81291335664286
P11TG,2.30102999566398
P11T0A,3.11394335230684
P11T0B,2.41497334797082
P11T0C,<1
P11T1A1,6.23044892137827
P11T1A2,6.20411998265593
P11T1A3,5.25527250510331
P11T1B1,5.7481880270062
P11T1B2,5.64345267648619
P11T1B3,5.43136376415899
P11T1C1,5.77815125038364
P11T1C2,5.65321251377534
P11T1C3,1.86332286012046
P11T2A1,8.00
P11T2A2,7.86923171973098
P11T2A3,8.00
P11T2B1,8.25527250510331
P11T2B2,7.92941892571429
P11T2B3,8.30102999566398
P11T2C1,7.98677173426625
P11T2C2,7.90848501887865
P11T2C3,8.17609125905568
P11T3A1,8.11394335230684
P11T3A2,7.99563519459755
P11T3A3,8.23044892137827
P11T3B1,8.30102999566398
P11T3B2,8.73239375982297
P11T3B3,8.66275783168157
P11T3C1,8.39794000867204
P11T3C2,8.20411998265593
P11T3C3,8.46239799789896
