Sample_Name,Total mesophilic aerobic flora (log10 CFU.g-1)
P07TE,5.15
P07TG,4.23
P07T0A,5.28
P07T0B,4.64
P07T0C,4.48
P07T1A1,5.74
P07T1A2,5.04
P07T1A3,5.18
P07T1B1,5.94
P07T1B2,5.67
P07T1B3,5.51
P07T1C1,6.79
P07T1C2,6.26
P07T1C3,5.4
P07T2A1,8
P07T2A2,8.28
P07T2A3,7.78
P07T2B1,8.48
P07T2B2,8.32
P07T2B3,8.28
P07T2C1,8.46
P07T2C2,8.34
P07T2C3,8.49
P07T3A1,8.85
P07T3A2,8.88
P07T3A3,9.08
P07T3B1,9
P07T3B2,8.26
P07T3B3,9.08
P07T3C1,9.08
P07T3C2,8.89
P07T3C3,9.15
P08TB,3.98
P08TD,4.04
P08TE,4.92
P08TG,3.76
P08T0A,3.93
P08T0B,5
P08T0C,3.81
P08T1A1,7.45
P08T1A2,5.97
P08T1A3,7.58
P08T1B1,8.04
P08T1B2,7.86
P08T1B3,8.08
P08T1C1,5.73
P08T1C2,6.26
P08T1C3,5.53
P08T2A1,7.67
P08T2A2,7.34
P08T2A3,7.62
P08T2B1,7.74
P08T2B2,7.49
P08T2B3,7.45
P08T2C1,7.58
P08T2C2,7.34
P08T2C3,7.68
P08T3A1,8.62
P08T3A2,8.6
P08T3A3,8.69
P08T3B1,8.93
P08T3B2,8.3
P08T3B3,8.32
P08T3C1,8.6
P08T3C2,8.11
P08T3C3,8.79
P09TB,4.18
P09TD,3.58
P09TE,4.92
P09TG,4.68
P09T0A,3.82
P09T0B,3.77
P09T0C,3.95
P09T1A1,5.57
P09T1A2,5.45
P09T1A3,5.18
P09T1B1,5.79
P09T1B2,5.79
P09T1B3,5
P09T1C1,6.04
P09T1C2,5.89
P09T1C3,5.36
P09T2A1,8.08
P09T2A2,8.38
P09T2A3,8.18
P09T2B1,8.38
P09T2B2,8.41
P09T2B3,8.08
P09T2C1,8.6
P09T2C2,8.32
P09T2C3,8.23
P09T3A1,8.65
P09T3A2,8.4
P09T3A3,8.43
P09T3B1,8.57
P09T3B2,8.61
P09T3B3,8.54
P09T3C1,8.38
P09T3C2,8.4
P09T3C3,8.63
P10TB,5.91
P10TD,3.92
P10TE,4.79
P10TG,4.51
P10T0A,4.45
P10T0B,4.74
P10T0C,4.2
P10T1A1,5.54
P10T1A2,5.28
P10T1A3,4.91
P10T1B1,6.3
P10T1B2,6.04
P10T1B3,5.2
P10T1C1,6.04
P10T1C2,5.76
P10T1C3,5.68
P10T2A1,8.62
P10T2A2,8.36
P10T2A3,8.36
P10T2B1,8.53
P10T2B2,8.38
P10T2B3,8.43
P10T2C1,8.53
P10T2C2,8.41
P10T2C3,8.28
P10T3A1,8.65
P10T3A2,8.2
P10T3A3,8.67
P10T3B1,8.32
P10T3B2,8.23
P10T3B3,8.15
P10T3C1,8.26
P10T3C2,8
P10T3C3,8.2
P11TB,3.89
P11TD,3.65
P11TE,4.71
P11TG,3.4
P11T0A,3.88
P11T0B,3.65
P11T0C,5.04
P11T1A1,6.36
P11T1A2,6.23
