Sample_Name	Meat_Type	Campaign	Sampling_Time	Lactate_Dose	Packaging	Amplicon_16S	Amplicon_gyrB	Volatilome_Analysis	Sensorial_Profile	pH	Packaging_Gas_Analysis	Total cfu.g-1	LAB cfu.g-1	Chromametry																			
C06T3A1	Poultry	n¡ã6	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C06T3A2	Poultry	n¡ã6	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C06T3A3	Poultry	n¡ã6	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C06T3B1	Poultry	n¡ã6	T3	Half_dose	Air	X	X			X	x	X	X																				
C06T3B2	Poultry	n¡ã6	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C06T3B3	Poultry	n¡ã6	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C06T3C1	Poultry	n¡ã6	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C06T3C2	Poultry	n¡ã6	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C06T3C3	Poultry	n¡ã6	T3	Zero_dose	50%N2_50%CO2		X	X		X	x	X	X	X																			
C07TB	Poultry	n¡ã7	Gut	None	None					X		X	X																				
C07TD	Poultry	n¡ã7	Primal_cut	None	None		X			X		X	X																				
C07TE	Poultry	n¡ã7	Spices	None	None					X		X	X																				
C07TG	Poultry	n¡ã7	Fat	None	None		X			X		X	X																				
C07T0A	Poultry	n¡ã7	T0	Normal_dose	None	X	X	X		X	x	X	X	X																			
C07T0B	Poultry	n¡ã7	T0	Half_dose	None	X	X			X	x	X	X																				
C07T0C	Poultry	n¡ã7	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C07T1A1	Poultry	n¡ã7	T1	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C07T1A2	Poultry	n¡ã7	T1	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T1A3	Poultry	n¡ã7	T1	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T1B1	Poultry	n¡ã7	T1	Half_dose	Air	X	X			X	x	X	X																				
C07T1B2	Poultry	n¡ã7	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C07T1B3	Poultry	n¡ã7	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C07T1C1	Poultry	n¡ã7	T1	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C07T1C2	Poultry	n¡ã7	T1	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T1C3	Poultry	n¡ã7	T1	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T2A1	Poultry	n¡ã7	T2	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C07T2A2	Poultry	n¡ã7	T2	Normal_dose	70%O2_30%CO2		X	X		X	x	X	X	X																			
C07T2A3	Poultry	n¡ã7	T2	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T2B1	Poultry	n¡ã7	T2	Half_dose	Air	X	X			X	x	X	X																				
C07T2B2	Poultry	n¡ã7	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C07T2B3	Poultry	n¡ã7	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C07T2C1	Poultry	n¡ã7	T2	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C07T2C2	Poultry	n¡ã7	T2	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T2C3	Poultry	n¡ã7	T2	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T3A1	Poultry	n¡ã7	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C07T3A2	Poultry	n¡ã7	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T3A3	Poultry	n¡ã7	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T3B1	Poultry	n¡ã7	T3	Half_dose	Air	X	X			X	x	X	X																				
C07T3B2	Poultry	n¡ã7	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C07T3B3	Poultry	n¡ã7	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C07T3C1	Poultry	n¡ã7	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C07T3C2	Poultry	n¡ã7	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T3C3	Poultry	n¡ã7	T3	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C08TB	Poultry	n¡ã8	Gut	None	None					X		X	X																				
